id,site_id,name,created_at,updated_at,deleted_at
6f797a84-5138-404b-9b4d-a11c27f7f9e0,851383be-e14a-42df-977d-8e420ec723ec,記事,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z,
07ab38f9-a39f-482b-9c95-e1f0bd959244,851383be-e14a-42df-977d-8e420ec723ec,病害虫情報,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z,
1994ee01-5be3-4d32-a249-0b9fb5c96213,851383be-e14a-42df-977d-8e420ec723ec,人事,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z,
